Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Total Spend,Last Interaction,Contract Duration (Months),Churn
22.0,0,9.0,11.0,1.0,19.0,2,509.96,2.0,12,0.0
22.0,0,46.0,14.0,7.0,23.0,0,247.0,11.0,1,1.0
28.0,1,45.0,18.0,9.0,12.0,1,885.0,18.0,3,1.0
54.0,1,42.0,27.0,0.0,23.0,0,344.0,18.0,12,1.0
34.0,0,53.0,11.0,1.0,10.0,1,561.48,1.0,12,0.0
35.0,1,46.0,27.0,3.0,9.0,0,937.26,8.0,12,0.0
37.0,0,22.0,24.0,6.0,28.0,0,180.0,24.0,1,1.0
61.0,0,37.0,2.0,7.0,1.0,0,790.0,29.0,1,1.0
32.0,1,20.0,23.0,8.0,0.0,1,422.03,10.0,1,1.0
30.0,0,19.0,16.0,0.0,11.0,0,830.9,8.0,3,0.0
26.0,1,4.0,16.0,0.0,0.0,1,959.2,3.0,3,0.0
29.0,1,27.0,5.0,3.0,6.0,2,819.0,28.0,3,1.0
18.0,0,49.0,5.0,5.0,23.0,2,831.0,16.0,1,1.0
41.0,0,24.0,23.0,1.0,19.0,1,936.22,5.0,12,0.0
26.0,0,58.0,7.0,9.0,27.0,2,325.48,29.0,3,1.0
54.0,1,17.0,27.0,10.0,27.0,0,807.0,4.0,3,1.0
22.0,1,13.0,19.0,2.0,0.0,1,767.34,3.0,12,0.0
24.0,1,16.0,11.0,0.0,2.0,2,676.58,20.0,12,0.0
35.0,0,10.0,10.0,5.0,23.0,0,742.0,30.0,3,1.0
61.0,0,3.0,17.0,8.0,12.0,0,697.0,1.0,12,1.0
50.0,1,58.0,10.0,0.0,6.0,1,574.6,20.0,3,0.0
42.0,0,10.0,6.0,9.0,6.0,1,444.0,4.0,1,1.0
18.0,0,60.0,20.0,4.0,1.0,0,720.0,6.0,3,1.0
46.0,0,17.0,1.0,8.0,13.0,0,477.0,2.0,3,1.0
24.0,1,5.0,11.0,1.0,6.0,2,797.75,30.0,12,0.0
22.0,1,33.0,16.0,6.0,6.0,0,786.0,9.0,12,1.0
29.0,1,12.0,12.0,5.0,7.0,2,353.0,4.0,12,1.0
53.0,0,10.0,1.0,4.0,28.0,0,327.0,19.0,1,1.0
18.0,1,58.0,23.0,5.0,26.0,2,415.3,9.0,1,1.0
54.0,1,4.0,14.0,2.0,29.0,0,855.0,25.0,1,1.0
58.0,1,58.0,16.0,9.0,29.0,2,390.0,4.0,1,1.0
63.0,0,30.0,23.0,7.0,2.0,0,787.0,19.0,3,1.0
32.0,0,41.0,25.0,8.0,8.0,1,870.0,14.0,3,1.0
48.0,0,32.0,25.0,1.0,9.0,1,822.63,3.0,12,0.0
35.0,1,23.0,12.0,1.0,14.0,1,834.17,9.0,12,0.0
45.0,1,21.0,19.0,3.0,18.0,0,505.46,6.0,12,0.0
22.0,0,8.0,9.0,7.0,3.0,0,133.0,7.0,3,1.0
59.0,1,45.0,19.0,9.0,3.0,2,694.33,3.0,1,1.0
42.0,1,24.0,13.0,3.0,6.0,0,821.0,22.0,1,1.0
38.0,0,30.0,19.0,0.0,18.0,1,609.05,9.0,12,0.0
36.0,1,23.0,15.0,3.0,28.0,1,586.0,13.0,3,1.0
51.0,0,10.0,25.0,2.0,3.0,2,709.0,12.0,3,1.0
63.0,0,12.0,13.0,7.0,24.0,2,406.0,25.0,12,1.0
38.0,1,46.0,19.0,1.0,11.0,1,985.01,1.0,12,0.0
43.0,0,43.0,1.0,7.0,26.0,2,395.0,18.0,12,1.0
44.0,1,17.0,5.0,5.0,0.0,2,377.0,13.0,12,1.0
52.0,0,34.0,2.0,0.0,0.0,1,864.0,6.0,12,1.0
52.0,0,23.0,7.0,0.0,26.0,2,711.0,22.0,12,1.0
39.0,1,34.0,28.0,1.0,14.0,2,958.05,8.0,3,0.0
44.0,0,18.0,14.0,0.0,14.0,0,791.0,17.0,3,1.0
35.0,1,13.0,7.0,10.0,28.0,1,663.82,20.0,3,1.0
61.0,1,60.0,25.0,1.0,12.0,0,356.0,30.0,1,1.0
58.0,0,5.0,20.0,4.0,25.0,2,678.0,19.0,1,1.0
26.0,0,24.0,1.0,9.0,7.0,0,887.0,8.0,3,1.0
34.0,0,55.0,24.0,3.0,12.0,2,721.53,13.0,3,0.0
38.0,1,59.0,23.0,2.0,14.0,2,308.0,8.0,12,1.0
18.0,0,11.0,10.0,5.0,21.0,1,728.0,25.0,3,1.0
29.0,0,55.0,14.0,0.0,3.0,1,747.0,12.0,1,1.0
40.0,0,26.0,23.0,4.0,3.0,1,745.04,15.0,12,0.0
25.0,1,18.0,22.0,5.0,26.0,1,391.37,6.0,12,1.0
26.0,1,39.0,26.0,9.0,9.0,0,852.23,18.0,3,1.0
61.0,1,38.0,18.0,10.0,27.0,0,695.0,20.0,12,1.0
30.0,1,23.0,29.0,3.0,18.0,1,861.28,16.0,3,0.0
42.0,0,22.0,21.0,8.0,12.0,0,152.0,12.0,1,1.0
21.0,1,50.0,23.0,1.0,11.0,2,854.05,8.0,12,0.0
59.0,1,8.0,30.0,10.0,12.0,1,190.38,17.0,12,1.0
37.0,0,48.0,19.0,6.0,7.0,0,466.0,6.0,1,1.0
26.0,1,18.0,16.0,2.0,11.0,2,925.15,19.0,3,0.0
62.0,0,12.0,2.0,0.0,17.0,2,521.0,24.0,12,1.0
23.0,1,12.0,4.0,10.0,23.0,1,858.06,4.0,1,1.0
49.0,0,1.0,21.0,6.0,5.0,0,795.51,2.0,12,1.0
20.0,0,26.0,24.0,1.0,11.0,2,558.0,16.0,12,1.0
29.0,1,56.0,2.0,0.0,2.0,2,675.63,1.0,3,0.0
20.0,1,54.0,27.0,1.0,10.0,1,158.0,20.0,1,1.0
24.0,0,17.0,24.0,4.0,13.0,0,774.0,24.0,3,1.0
30.0,0,59.0,25.0,7.0,1.0,1,453.0,27.0,12,1.0
50.0,0,54.0,18.0,6.0,7.0,1,354.51,6.0,3,1.0
38.0,0,34.0,18.0,0.0,18.0,2,812.51,4.0,12,0.0
38.0,1,19.0,11.0,2.0,2.0,1,618.8,9.0,3,0.0
26.0,1,43.0,24.0,9.0,10.0,1,115.0,7.0,12,1.0
54.0,0,26.0,13.0,5.0,25.0,0,298.0,22.0,1,1.0
19.0,1,24.0,24.0,2.0,7.0,2,878.0,12.0,1,1.0
20.0,1,40.0,19.0,9.0,11.0,0,264.0,13.0,3,1.0
48.0,0,14.0,6.0,7.0,20.0,0,227.0,30.0,12,1.0
31.0,1,31.0,6.0,4.0,2.0,1,436.0,15.0,1,1.0
23.0,0,41.0,12.0,4.0,7.0,1,923.0,24.0,3,1.0
33.0,0,60.0,13.0,2.0,25.0,1,952.0,8.0,3,1.0
31.0,1,42.0,15.0,3.0,0.0,1,551.06,24.0,12,0.0
50.0,0,33.0,29.0,9.0,14.0,2,521.0,28.0,3,1.0
51.0,0,36.0,12.0,10.0,2.0,0,190.65,26.0,1,1.0
42.0,1,26.0,9.0,1.0,1.0,0,665.2,2.0,12,0.0
22.0,1,59.0,10.0,4.0,21.0,0,780.0,3.0,3,1.0
39.0,0,13.0,5.0,10.0,28.0,2,266.0,2.0,12,1.0
54.0,0,4.0,13.0,4.0,30.0,2,165.0,14.0,12,1.0
33.0,0,19.0,18.0,8.0,18.0,1,898.0,15.0,3,1.0
19.0,0,16.0,27.0,1.0,14.0,2,802.59,10.0,3,0.0
62.0,1,35.0,26.0,4.0,5.0,2,318.0,2.0,12,1.0
64.0,1,36.0,3.0,2.0,8.0,0,575.0,13.0,1,1.0
46.0,0,5.0,29.0,9.0,12.0,0,679.0,19.0,12,1.0
41.0,0,40.0,21.0,0.0,15.0,2,952.52,14.0,12,0.0
49.0,0,20.0,30.0,4.0,11.0,1,268.0,5.0,12,1.0
53.0,1,25.0,1.0,4.0,10.0,0,995.22,15.0,3,1.0
29.0,1,20.0,22.0,7.0,16.0,1,293.0,22.0,12,1.0
33.0,1,2.0,8.0,8.0,25.0,1,910.0,8.0,12,1.0
34.0,0,50.0,26.0,10.0,20.0,0,934.0,10.0,3,1.0
41.0,1,58.0,15.0,0.0,15.0,0,902.3,6.0,3,0.0
37.0,0,5.0,1.0,6.0,23.0,2,558.79,27.0,1,1.0
32.0,0,9.0,18.0,3.0,8.0,0,547.55,11.0,3,0.0
64.0,1,24.0,7.0,4.0,1.0,0,754.0,26.0,3,1.0
43.0,0,12.0,28.0,6.0,28.0,2,965.0,26.0,1,1.0
43.0,1,41.0,15.0,9.0,18.0,2,858.0,29.0,3,1.0
45.0,0,44.0,26.0,6.0,12.0,0,462.45,26.0,1,1.0
28.0,0,5.0,4.0,7.0,17.0,1,587.0,21.0,12,1.0
35.0,0,34.0,23.0,3.0,5.0,0,656.52,2.0,3,0.0
42.0,1,25.0,13.0,3.0,9.0,2,846.23,9.0,3,0.0
47.0,0,29.0,11.0,3.0,18.0,1,645.29,12.0,12,0.0
51.0,1,15.0,18.0,10.0,22.0,1,792.0,10.0,3,1.0
44.0,0,39.0,21.0,0.0,7.0,0,526.44,12.0,3,0.0
22.0,1,34.0,14.0,2.0,19.0,2,847.11,11.0,3,0.0
35.0,1,25.0,3.0,2.0,25.0,1,890.0,25.0,12,1.0
18.0,0,39.0,10.0,7.0,29.0,2,500.0,17.0,12,1.0
46.0,1,48.0,4.0,0.0,19.0,1,665.11,24.0,3,0.0
20.0,0,58.0,20.0,10.0,11.0,1,191.0,21.0,3,1.0
36.0,0,2.0,20.0,1.0,11.0,1,872.0,22.0,1,1.0
56.0,1,4.0,24.0,6.0,25.0,2,717.0,18.0,1,1.0
32.0,0,21.0,17.0,0.0,16.0,2,433.0,12.0,3,1.0
33.0,0,59.0,27.0,7.0,2.0,2,291.71,6.0,1,1.0
19.0,1,59.0,26.0,0.0,10.0,0,836.99,14.0,12,0.0
25.0,0,46.0,17.0,5.0,6.0,2,150.0,17.0,12,1.0
43.0,0,10.0,18.0,3.0,20.0,2,737.87,13.0,12,0.0
18.0,1,8.0,7.0,6.0,28.0,2,954.0,4.0,3,1.0
41.0,0,18.0,27.0,10.0,9.0,1,719.0,20.0,3,1.0
46.0,0,44.0,30.0,1.0,4.0,1,982.74,8.0,3,0.0
56.0,0,50.0,3.0,5.0,28.0,1,607.0,25.0,12,1.0
46.0,0,9.0,3.0,1.0,16.0,0,791.62,2.0,12,0.0
18.0,1,24.0,19.0,0.0,30.0,1,592.21,16.0,3,1.0
39.0,1,19.0,19.0,4.0,10.0,0,416.0,23.0,3,1.0
30.0,0,19.0,6.0,10.0,12.0,2,931.0,8.0,3,1.0
25.0,0,12.0,13.0,7.0,16.0,2,434.0,4.0,3,1.0
18.0,1,51.0,24.0,0.0,14.0,2,634.73,8.0,3,0.0
54.0,1,21.0,3.0,2.0,28.0,1,940.0,1.0,3,1.0
29.0,0,42.0,23.0,6.0,0.0,1,400.06,25.0,1,1.0
38.0,0,2.0,7.0,7.0,26.0,1,639.0,9.0,3,1.0
52.0,0,35.0,8.0,9.0,12.0,1,132.0,5.0,3,1.0
49.0,1,26.0,11.0,8.0,30.0,1,783.0,14.0,1,1.0
21.0,1,58.0,12.0,1.0,8.0,2,426.0,2.0,3,1.0
23.0,0,30.0,10.0,10.0,3.0,1,436.18,23.0,12,1.0
32.0,0,42.0,26.0,2.0,19.0,1,912.32,10.0,3,0.0
45.0,1,46.0,30.0,7.0,1.0,2,419.0,14.0,12,1.0
18.0,0,6.0,15.0,0.0,21.0,2,384.6,19.0,3,1.0
39.0,1,33.0,21.0,9.0,23.0,0,556.0,27.0,12,1.0
46.0,0,36.0,23.0,3.0,19.0,1,680.54,7.0,12,0.0
58.0,0,29.0,8.0,2.0,16.0,0,204.39,7.0,12,1.0
50.0,1,3.0,1.0,1.0,11.0,1,543.12,22.0,3,0.0
23.0,1,18.0,29.0,10.0,28.0,1,326.0,10.0,3,1.0
36.0,0,8.0,16.0,1.0,14.0,2,988.7,7.0,3,0.0
63.0,1,34.0,4.0,7.0,4.0,1,816.0,4.0,1,1.0
29.0,1,7.0,15.0,8.0,16.0,1,929.0,14.0,1,1.0
41.0,1,21.0,20.0,4.0,2.0,1,445.0,27.0,12,1.0
28.0,0,36.0,22.0,7.0,10.0,0,843.55,16.0,1,1.0
51.0,0,9.0,28.0,1.0,12.0,0,178.95,21.0,1,1.0
43.0,0,38.0,2.0,1.0,12.0,0,175.48,1.0,1,1.0
47.0,1,29.0,9.0,3.0,13.0,1,395.12,21.0,12,1.0
24.0,0,47.0,13.0,5.0,19.0,2,283.0,30.0,12,1.0
28.0,0,52.0,13.0,0.0,14.0,1,987.56,11.0,12,0.0
50.0,1,38.0,24.0,7.0,18.0,0,275.0,19.0,12,1.0
28.0,0,30.0,14.0,3.0,18.0,0,282.0,14.0,3,1.0
30.0,1,27.0,3.0,1.0,0.0,1,774.89,1.0,12,0.0
62.0,0,21.0,4.0,1.0,20.0,0,275.0,1.0,3,1.0
23.0,1,59.0,30.0,7.0,21.0,1,737.0,17.0,3,1.0
47.0,1,47.0,6.0,3.0,4.0,2,279.0,22.0,3,1.0
51.0,0,46.0,27.0,0.0,16.0,0,830.0,21.0,1,1.0
46.0,0,9.0,11.0,9.0,24.0,0,137.73,27.0,12,1.0
39.0,0,9.0,26.0,0.0,5.0,0,985.51,2.0,3,0.0
43.0,0,21.0,1.0,5.0,8.0,2,776.0,5.0,12,1.0
26.0,0,28.0,13.0,0.0,3.0,0,875.95,9.0,12,0.0
27.0,1,37.0,12.0,1.0,18.0,1,947.12,16.0,12,0.0
52.0,0,6.0,27.0,8.0,6.0,2,418.0,18.0,3,1.0
29.0,0,11.0,13.0,8.0,7.0,1,503.0,8.0,1,1.0
47.0,0,40.0,27.0,3.0,6.0,1,894.0,8.0,1,1.0
24.0,0,5.0,24.0,1.0,22.0,1,581.0,22.0,12,1.0
24.0,0,26.0,20.0,1.0,9.0,2,770.0,19.0,1,1.0
28.0,0,60.0,24.0,1.0,5.0,1,773.48,8.0,3,0.0
36.0,1,5.0,8.0,3.0,12.0,2,977.99,24.0,3,0.0
24.0,1,51.0,29.0,7.0,8.0,2,763.0,2.0,3,1.0
60.0,0,39.0,5.0,6.0,12.0,2,453.34,10.0,1,1.0
21.0,1,33.0,9.0,3.0,16.0,2,494.0,4.0,1,1.0
33.0,0,36.0,3.0,9.0,24.0,0,174.43,29.0,1,1.0
59.0,0,42.0,27.0,0.0,16.0,2,727.75,20.0,3,1.0
54.0,0,24.0,18.0,2.0,13.0,1,427.0,11.0,12,1.0
28.0,1,18.0,28.0,0.0,25.0,0,476.0,9.0,1,1.0
47.0,1,18.0,28.0,1.0,7.0,2,865.43,13.0,3,0.0
49.0,0,5.0,28.0,3.0,16.0,2,566.72,3.0,3,0.0
28.0,1,38.0,18.0,9.0,27.0,1,276.0,21.0,1,1.0
52.0,0,14.0,25.0,2.0,21.0,2,652.0,4.0,3,1.0
65.0,0,33.0,14.0,9.0,18.0,0,859.0,8.0,12,1.0
39.0,1,23.0,10.0,1.0,12.0,1,996.25,6.0,12,0.0
61.0,0,7.0,24.0,1.0,10.0,1,642.0,17.0,12,1.0
28.0,0,57.0,14.0,6.0,9.0,2,160.0,23.0,3,1.0
43.0,1,58.0,2.0,1.0,13.0,0,512.0,3.0,12,0.0
41.0,1,16.0,9.0,10.0,18.0,1,694.0,26.0,3,1.0
36.0,1,17.0,18.0,3.0,1.0,2,551.04,24.0,12,0.0
23.0,0,40.0,9.0,1.0,2.0,1,877.0,7.0,3,0.0
28.0,0,17.0,27.0,10.0,7.0,2,864.0,23.0,3,1.0
56.0,0,18.0,29.0,1.0,16.0,1,332.0,24.0,3,1.0
40.0,0,30.0,13.0,7.0,8.0,0,311.0,23.0,1,1.0
26.0,1,37.0,10.0,5.0,6.0,0,738.0,28.0,12,1.0
47.0,0,1.0,21.0,4.0,1.0,1,514.1,7.0,12,0.0
31.0,1,56.0,23.0,2.0,12.0,2,787.65,30.0,12,0.0
36.0,0,36.0,19.0,4.0,2.0,1,160.0,26.0,1,1.0
39.0,1,60.0,28.0,1.0,19.0,1,571.38,5.0,12,0.0
34.0,0,39.0,6.0,10.0,2.0,1,313.0,29.0,3,1.0
48.0,0,5.0,15.0,2.0,28.0,0,967.0,19.0,12,1.0
55.0,0,41.0,11.0,3.0,29.0,0,523.0,23.0,1,1.0
28.0,0,47.0,10.0,0.0,3.0,0,677.08,13.0,3,0.0
18.0,1,55.0,25.0,1.0,3.0,1,298.6,16.0,12,1.0
56.0,1,56.0,29.0,9.0,7.0,1,398.0,10.0,3,1.0
35.0,0,4.0,23.0,1.0,18.0,1,584.93,5.0,3,0.0
60.0,0,53.0,25.0,8.0,17.0,1,178.0,8.0,12,1.0
20.0,1,35.0,2.0,8.0,29.0,0,150.0,11.0,1,1.0
18.0,1,21.0,28.0,0.0,8.0,0,891.46,26.0,12,0.0
63.0,1,21.0,5.0,7.0,0.0,0,939.33,27.0,1,1.0
52.0,0,52.0,8.0,9.0,14.0,1,835.91,20.0,1,1.0
22.0,1,33.0,30.0,0.0,3.0,1,617.54,5.0,3,0.0
56.0,1,27.0,3.0,10.0,21.0,1,909.0,20.0,3,1.0
64.0,0,20.0,20.0,7.0,5.0,2,426.45,23.0,3,1.0
27.0,1,6.0,13.0,7.0,24.0,2,880.0,20.0,3,1.0
44.0,1,16.0,13.0,10.0,4.0,2,639.0,4.0,12,1.0
49.0,1,35.0,17.0,9.0,19.0,0,667.0,27.0,12,1.0
36.0,1,12.0,24.0,1.0,1.0,1,639.97,5.0,3,0.0
28.0,1,51.0,10.0,10.0,7.0,2,967.0,15.0,12,1.0
42.0,1,35.0,24.0,4.0,11.0,2,867.58,25.0,12,0.0
61.0,1,21.0,23.0,1.0,9.0,0,844.0,30.0,1,1.0
32.0,1,59.0,7.0,0.0,3.0,1,872.61,29.0,3,0.0
26.0,0,20.0,22.0,7.0,3.0,2,578.0,29.0,1,1.0
26.0,0,24.0,13.0,2.0,8.0,2,506.0,10.0,3,0.0
37.0,1,29.0,29.0,7.0,15.0,0,654.0,28.0,1,1.0
46.0,0,60.0,22.0,1.0,27.0,1,351.71,26.0,12,1.0
47.0,1,4.0,7.0,8.0,8.0,0,768.0,10.0,1,1.0
60.0,0,1.0,8.0,5.0,28.0,1,337.43,10.0,1,1.0
36.0,0,17.0,2.0,4.0,25.0,0,924.0,18.0,1,1.0
35.0,0,14.0,23.0,2.0,9.0,1,580.34,2.0,3,0.0
28.0,1,55.0,18.0,0.0,19.0,2,740.33,13.0,12,0.0
57.0,0,17.0,4.0,0.0,16.0,0,501.88,7.0,1,1.0
25.0,1,34.0,24.0,3.0,5.0,1,951.92,25.0,3,1.0
61.0,1,14.0,26.0,8.0,16.0,0,651.34,30.0,3,1.0
40.0,1,44.0,6.0,0.0,7.0,0,609.57,28.0,3,0.0
21.0,1,40.0,13.0,4.0,21.0,1,836.0,18.0,3,1.0
46.0,0,20.0,7.0,3.0,1.0,2,220.0,23.0,12,1.0
44.0,0,22.0,24.0,8.0,2.0,0,954.0,24.0,3,1.0
46.0,1,31.0,28.0,4.0,25.0,2,464.0,8.0,12,1.0
56.0,1,23.0,8.0,9.0,23.0,1,480.0,4.0,12,1.0
45.0,1,21.0,11.0,9.0,14.0,0,855.0,6.0,3,1.0
34.0,1,12.0,21.0,8.0,4.0,0,857.47,29.0,1,1.0
33.0,0,38.0,2.0,2.0,9.0,0,902.16,3.0,12,0.0
42.0,1,42.0,15.0,1.0,14.0,1,700.32,5.0,3,0.0
61.0,1,6.0,13.0,7.0,7.0,1,268.01,15.0,12,1.0
42.0,1,33.0,24.0,7.0,25.0,0,121.0,3.0,12,1.0
62.0,1,29.0,16.0,5.0,30.0,0,878.0,1.0,1,1.0
54.0,0,22.0,2.0,3.0,20.0,2,139.0,3.0,12,1.0
47.0,1,47.0,6.0,3.0,28.0,1,785.0,19.0,12,1.0
54.0,0,47.0,18.0,4.0,3.0,0,557.0,23.0,3,1.0
40.0,1,59.0,4.0,3.0,8.0,2,702.89,17.0,12,0.0
18.0,1,52.0,21.0,6.0,22.0,2,191.0,25.0,12,1.0
30.0,1,46.0,25.0,1.0,9.0,2,743.98,27.0,12,0.0
54.0,0,57.0,5.0,6.0,25.0,2,708.0,13.0,3,1.0
56.0,0,36.0,6.0,8.0,4.0,2,980.0,11.0,1,1.0
38.0,1,53.0,18.0,2.0,10.0,0,640.74,12.0,3,0.0
25.0,0,58.0,16.0,4.0,6.0,2,608.3,18.0,1,1.0
55.0,0,45.0,28.0,6.0,27.0,2,358.0,10.0,12,1.0
29.0,0,30.0,28.0,5.0,8.0,1,488.0,29.0,3,1.0
29.0,1,3.0,4.0,3.0,15.0,1,511.24,23.0,1,1.0
21.0,0,7.0,29.0,5.0,1.0,0,314.92,1.0,12,1.0
55.0,0,56.0,20.0,7.0,5.0,2,449.0,4.0,1,1.0
35.0,0,43.0,19.0,1.0,10.0,1,953.28,13.0,3,0.0
62.0,1,18.0,8.0,8.0,29.0,1,220.99,19.0,3,1.0
22.0,0,18.0,29.0,0.0,2.0,0,613.92,20.0,3,1.0
18.0,1,14.0,13.0,8.0,22.0,2,930.0,19.0,12,1.0
45.0,1,26.0,27.0,1.0,5.0,0,681.75,24.0,12,0.0
37.0,1,42.0,5.0,0.0,16.0,1,595.17,21.0,3,0.0
48.0,0,29.0,14.0,2.0,3.0,1,743.27,2.0,3,0.0
59.0,0,33.0,17.0,5.0,9.0,1,727.0,12.0,3,1.0
37.0,1,15.0,26.0,5.0,7.0,1,889.0,8.0,1,1.0
53.0,0,36.0,3.0,5.0,21.0,1,472.0,14.0,3,1.0
54.0,1,11.0,15.0,1.0,25.0,0,196.21,14.0,12,1.0
50.0,0,60.0,20.0,0.0,3.0,2,524.61,8.0,12,0.0
46.0,1,48.0,25.0,3.0,6.0,0,654.93,7.0,12,0.0
54.0,1,17.0,6.0,8.0,7.0,1,285.71,15.0,12,1.0
49.0,0,5.0,4.0,0.0,5.0,0,324.0,25.0,12,1.0
46.0,1,59.0,9.0,0.0,9.0,2,229.0,8.0,1,1.0
64.0,0,43.0,1.0,10.0,20.0,2,894.23,14.0,3,1.0
23.0,1,60.0,6.0,1.0,13.0,1,933.31,23.0,12,0.0
50.0,0,48.0,4.0,0.0,8.0,1,508.0,15.0,1,1.0
58.0,1,59.0,29.0,10.0,3.0,0,634.0,10.0,3,1.0
39.0,1,38.0,14.0,5.0,17.0,0,936.0,20.0,12,1.0
59.0,1,19.0,6.0,9.0,20.0,0,648.0,22.0,3,1.0
42.0,0,12.0,21.0,7.0,19.0,2,743.0,7.0,3,1.0
39.0,1,25.0,29.0,3.0,11.0,2,530.23,3.0,3,0.0
56.0,1,6.0,23.0,6.0,6.0,1,565.0,30.0,12,1.0
44.0,1,55.0,2.0,1.0,18.0,1,574.57,20.0,3,0.0
49.0,1,22.0,23.0,4.0,22.0,0,450.0,15.0,12,1.0
51.0,1,46.0,3.0,0.0,0.0,2,547.0,27.0,12,1.0
56.0,1,18.0,27.0,0.0,19.0,2,702.0,10.0,12,1.0
45.0,1,19.0,29.0,6.0,11.0,0,918.0,12.0,1,1.0
62.0,0,31.0,30.0,6.0,5.0,2,686.0,26.0,1,1.0
31.0,1,26.0,9.0,5.0,15.0,1,689.0,27.0,12,1.0
51.0,0,40.0,9.0,5.0,29.0,0,201.0,12.0,12,1.0
21.0,1,38.0,4.0,0.0,5.0,1,960.19,2.0,3,0.0
65.0,0,9.0,15.0,6.0,2.0,2,688.0,20.0,1,1.0
35.0,0,13.0,14.0,2.0,13.0,2,510.74,13.0,12,0.0
30.0,1,3.0,9.0,3.0,11.0,2,621.88,18.0,12,0.0
46.0,1,33.0,28.0,4.0,2.0,2,657.0,5.0,1,1.0
48.0,1,29.0,17.0,0.0,12.0,0,984.39,13.0,12,0.0
20.0,1,20.0,28.0,2.0,1.0,1,958.88,1.0,12,0.0
25.0,0,15.0,2.0,10.0,29.0,2,737.35,8.0,12,1.0
58.0,0,50.0,16.0,9.0,15.0,2,924.87,15.0,1,1.0
41.0,0,24.0,24.0,8.0,26.0,0,756.0,18.0,12,1.0
46.0,1,27.0,9.0,3.0,18.0,2,771.08,5.0,3,0.0
58.0,0,3.0,30.0,7.0,21.0,1,674.0,20.0,3,1.0
33.0,1,5.0,14.0,4.0,0.0,0,192.0,7.0,3,1.0
