Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Total Spend,Last Interaction,Contract Duration (Months),Tenure_Bucket,Support_Call_Intensity,Interaction_Frequency,Churn
44.0,1,45.0,18.0,1.0,16.0,0,697.71,14.0,12,2,0.0222222222222222,1.2,0.0
18.0,1,21.0,15.0,7.0,22.0,0,999.84,25.0,3,1,0.3333333333333333,0.5769230769230769,1.0
26.0,1,6.0,29.0,1.0,19.0,0,821.0,14.0,1,0,0.1666666666666666,1.9333333333333331,1.0
60.0,0,42.0,9.0,3.0,3.0,1,835.0,19.0,1,2,0.0714285714285714,0.45,1.0
24.0,0,47.0,5.0,4.0,2.0,0,633.0,20.0,3,2,0.0851063829787234,0.238095238095238,1.0
26.0,0,14.0,20.0,1.0,6.0,2,336.0,1.0,1,1,0.0714285714285714,10.0,1.0
42.0,0,59.0,19.0,5.0,20.0,2,121.85,2.0,3,2,0.0847457627118644,6.333333333333333,1.0
40.0,1,36.0,19.0,2.0,21.0,1,814.7,12.0,3,1,0.0555555555555555,1.4615384615384617,1.0
28.0,0,15.0,14.0,10.0,1.0,1,706.21,14.0,1,1,0.6666666666666666,0.9333333333333332,1.0
41.0,1,32.0,18.0,0.0,3.0,1,867.01,13.0,12,1,0.0,1.2857142857142858,0.0
22.0,0,9.0,11.0,1.0,19.0,2,509.96,2.0,12,0,0.1111111111111111,3.6666666666666665,0.0
22.0,0,46.0,14.0,7.0,23.0,0,247.0,11.0,1,2,0.1521739130434782,1.1666666666666667,1.0
28.0,1,45.0,18.0,9.0,12.0,1,885.0,18.0,3,2,0.2,0.9473684210526316,1.0
54.0,1,42.0,27.0,0.0,23.0,0,344.0,18.0,12,2,0.0,1.4210526315789471,1.0
34.0,0,53.0,11.0,1.0,10.0,1,561.48,1.0,12,2,0.0188679245283018,5.5,0.0
35.0,1,46.0,27.0,3.0,9.0,0,937.26,8.0,12,2,0.0652173913043478,3.0,0.0
37.0,0,22.0,24.0,6.0,28.0,0,180.0,24.0,1,1,0.2727272727272727,0.96,1.0
61.0,0,37.0,2.0,7.0,1.0,0,790.0,29.0,1,2,0.1891891891891892,0.0666666666666666,1.0
32.0,1,20.0,23.0,8.0,0.0,1,422.03,10.0,1,1,0.4,2.090909090909091,1.0
30.0,0,19.0,16.0,0.0,11.0,0,830.9,8.0,3,1,0.0,1.7777777777777777,0.0
26.0,1,4.0,16.0,0.0,0.0,1,959.2,3.0,3,0,0.0,4.0,0.0
29.0,1,27.0,5.0,3.0,6.0,2,819.0,28.0,3,1,0.1111111111111111,0.1724137931034483,1.0
18.0,0,49.0,5.0,5.0,23.0,2,831.0,16.0,1,2,0.1020408163265306,0.2941176470588235,1.0
41.0,0,24.0,23.0,1.0,19.0,1,936.22,5.0,12,1,0.0416666666666666,3.8333333333333335,0.0
26.0,0,58.0,7.0,9.0,27.0,2,325.48,29.0,3,2,0.1551724137931034,0.2333333333333333,1.0
54.0,1,17.0,27.0,10.0,27.0,0,807.0,4.0,3,1,0.5882352941176471,5.4,1.0
22.0,1,13.0,19.0,2.0,0.0,1,767.34,3.0,12,1,0.1538461538461538,4.75,0.0
24.0,1,16.0,11.0,0.0,2.0,2,676.58,20.0,12,1,0.0,0.5238095238095238,0.0
35.0,0,10.0,10.0,5.0,23.0,0,742.0,30.0,3,0,0.5,0.3225806451612903,1.0
61.0,0,3.0,17.0,8.0,12.0,0,697.0,1.0,12,0,2.6666666666666665,8.5,1.0
50.0,1,58.0,10.0,0.0,6.0,1,574.6,20.0,3,2,0.0,0.4761904761904761,0.0
42.0,0,10.0,6.0,9.0,6.0,1,444.0,4.0,1,0,0.9,1.2,1.0
18.0,0,60.0,20.0,4.0,1.0,0,720.0,6.0,3,2,0.0666666666666666,2.857142857142857,1.0
46.0,0,17.0,1.0,8.0,13.0,0,477.0,2.0,3,1,0.4705882352941176,0.3333333333333333,1.0
24.0,1,5.0,11.0,1.0,6.0,2,797.75,30.0,12,0,0.2,0.3548387096774194,0.0
22.0,1,33.0,16.0,6.0,6.0,0,786.0,9.0,12,1,0.1818181818181818,1.6,1.0
29.0,1,12.0,12.0,5.0,7.0,2,353.0,4.0,12,1,0.4166666666666667,2.4,1.0
53.0,0,10.0,1.0,4.0,28.0,0,327.0,19.0,1,0,0.4,0.05,1.0
18.0,1,58.0,23.0,5.0,26.0,2,415.3,9.0,1,2,0.0862068965517241,2.3,1.0
54.0,1,4.0,14.0,2.0,29.0,0,855.0,25.0,1,0,0.5,0.5384615384615384,1.0
58.0,1,58.0,16.0,9.0,29.0,2,390.0,4.0,1,2,0.1551724137931034,3.2,1.0
63.0,0,30.0,23.0,7.0,2.0,0,787.0,19.0,3,1,0.2333333333333333,1.15,1.0
32.0,0,41.0,25.0,8.0,8.0,1,870.0,14.0,3,2,0.1951219512195122,1.6666666666666667,1.0
48.0,0,32.0,25.0,1.0,9.0,1,822.63,3.0,12,1,0.03125,6.25,0.0
35.0,1,23.0,12.0,1.0,14.0,1,834.17,9.0,12,1,0.0434782608695652,1.2,0.0
45.0,1,21.0,19.0,3.0,18.0,0,505.46,6.0,12,1,0.1428571428571428,2.7142857142857144,0.0
22.0,0,8.0,9.0,7.0,3.0,0,133.0,7.0,3,0,0.875,1.125,1.0
59.0,1,45.0,19.0,9.0,3.0,2,694.33,3.0,1,2,0.2,4.75,1.0
42.0,1,24.0,13.0,3.0,6.0,0,821.0,22.0,1,1,0.125,0.5652173913043478,1.0
38.0,0,30.0,19.0,0.0,18.0,1,609.05,9.0,12,1,0.0,1.9,0.0
36.0,1,23.0,15.0,3.0,28.0,1,586.0,13.0,3,1,0.1304347826086956,1.0714285714285714,1.0
51.0,0,10.0,25.0,2.0,3.0,2,709.0,12.0,3,0,0.2,1.9230769230769231,1.0
63.0,0,12.0,13.0,7.0,24.0,2,406.0,25.0,12,1,0.5833333333333334,0.5,1.0
38.0,1,46.0,19.0,1.0,11.0,1,985.01,1.0,12,2,0.0217391304347826,9.5,0.0
43.0,0,43.0,1.0,7.0,26.0,2,395.0,18.0,12,2,0.1627906976744186,0.0526315789473684,1.0
44.0,1,17.0,5.0,5.0,0.0,2,377.0,13.0,12,1,0.2941176470588235,0.3571428571428571,1.0
52.0,0,34.0,2.0,0.0,0.0,1,864.0,6.0,12,1,0.0,0.2857142857142857,1.0
52.0,0,23.0,7.0,0.0,26.0,2,711.0,22.0,12,1,0.0,0.3043478260869565,1.0
39.0,1,34.0,28.0,1.0,14.0,2,958.05,8.0,3,1,0.0294117647058823,3.111111111111111,0.0
44.0,0,18.0,14.0,0.0,14.0,0,791.0,17.0,3,1,0.0,0.7777777777777778,1.0
35.0,1,13.0,7.0,10.0,28.0,1,663.82,20.0,3,1,0.7692307692307693,0.3333333333333333,1.0
61.0,1,60.0,25.0,1.0,12.0,0,356.0,30.0,1,2,0.0166666666666666,0.8064516129032258,1.0
58.0,0,5.0,20.0,4.0,25.0,2,678.0,19.0,1,0,0.8,1.0,1.0
26.0,0,24.0,1.0,9.0,7.0,0,887.0,8.0,3,1,0.375,0.1111111111111111,1.0
34.0,0,55.0,24.0,3.0,12.0,2,721.53,13.0,3,2,0.0545454545454545,1.7142857142857142,0.0
38.0,1,59.0,23.0,2.0,14.0,2,308.0,8.0,12,2,0.0338983050847457,2.555555555555556,1.0
18.0,0,11.0,10.0,5.0,21.0,1,728.0,25.0,3,0,0.4545454545454545,0.3846153846153846,1.0
29.0,0,55.0,14.0,0.0,3.0,1,747.0,12.0,1,2,0.0,1.0769230769230769,1.0
40.0,0,26.0,23.0,4.0,3.0,1,745.04,15.0,12,1,0.1538461538461538,1.4375,0.0
25.0,1,18.0,22.0,5.0,26.0,1,391.37,6.0,12,1,0.2777777777777778,3.142857142857143,1.0
26.0,1,39.0,26.0,9.0,9.0,0,852.23,18.0,3,2,0.2307692307692307,1.368421052631579,1.0
61.0,1,38.0,18.0,10.0,27.0,0,695.0,20.0,12,2,0.2631578947368421,0.8571428571428571,1.0
30.0,1,23.0,29.0,3.0,18.0,1,861.28,16.0,3,1,0.1304347826086956,1.7058823529411764,0.0
42.0,0,22.0,21.0,8.0,12.0,0,152.0,12.0,1,1,0.3636363636363636,1.6153846153846154,1.0
21.0,1,50.0,23.0,1.0,11.0,2,854.05,8.0,12,2,0.02,2.555555555555556,0.0
59.0,1,8.0,30.0,10.0,12.0,1,190.38,17.0,12,0,1.25,1.6666666666666667,1.0
37.0,0,48.0,19.0,6.0,7.0,0,466.0,6.0,1,2,0.125,2.7142857142857144,1.0
26.0,1,18.0,16.0,2.0,11.0,2,925.15,19.0,3,1,0.1111111111111111,0.8,0.0
62.0,0,12.0,2.0,0.0,17.0,2,521.0,24.0,12,1,0.0,0.08,1.0
23.0,1,12.0,4.0,10.0,23.0,1,858.06,4.0,1,1,0.8333333333333334,0.8,1.0
49.0,0,1.0,21.0,6.0,5.0,0,795.51,2.0,12,0,6.0,7.0,1.0
20.0,0,26.0,24.0,1.0,11.0,2,558.0,16.0,12,1,0.0384615384615384,1.411764705882353,1.0
29.0,1,56.0,2.0,0.0,2.0,2,675.63,1.0,3,2,0.0,1.0,0.0
20.0,1,54.0,27.0,1.0,10.0,1,158.0,20.0,1,2,0.0185185185185185,1.2857142857142858,1.0
24.0,0,17.0,24.0,4.0,13.0,0,774.0,24.0,3,1,0.2352941176470588,0.96,1.0
30.0,0,59.0,25.0,7.0,1.0,1,453.0,27.0,12,2,0.1186440677966101,0.8928571428571429,1.0
50.0,0,54.0,18.0,6.0,7.0,1,354.51,6.0,3,2,0.1111111111111111,2.571428571428572,1.0
38.0,0,34.0,18.0,0.0,18.0,2,812.51,4.0,12,1,0.0,3.6,0.0
38.0,1,19.0,11.0,2.0,2.0,1,618.8,9.0,3,1,0.1052631578947368,1.1,0.0
26.0,1,43.0,24.0,9.0,10.0,1,115.0,7.0,12,2,0.2093023255813953,3.0,1.0
54.0,0,26.0,13.0,5.0,25.0,0,298.0,22.0,1,1,0.1923076923076923,0.5652173913043478,1.0
19.0,1,24.0,24.0,2.0,7.0,2,878.0,12.0,1,1,0.0833333333333333,1.8461538461538465,1.0
20.0,1,40.0,19.0,9.0,11.0,0,264.0,13.0,3,2,0.225,1.3571428571428572,1.0
48.0,0,14.0,6.0,7.0,20.0,0,227.0,30.0,12,1,0.5,0.1935483870967742,1.0
31.0,1,31.0,6.0,4.0,2.0,1,436.0,15.0,1,1,0.1290322580645161,0.375,1.0
23.0,0,41.0,12.0,4.0,7.0,1,923.0,24.0,3,2,0.0975609756097561,0.48,1.0
33.0,0,60.0,13.0,2.0,25.0,1,952.0,8.0,3,2,0.0333333333333333,1.4444444444444444,1.0
31.0,1,42.0,15.0,3.0,0.0,1,551.06,24.0,12,2,0.0714285714285714,0.6,0.0
50.0,0,33.0,29.0,9.0,14.0,2,521.0,28.0,3,1,0.2727272727272727,1.0,1.0
51.0,0,36.0,12.0,10.0,2.0,0,190.65,26.0,1,1,0.2777777777777778,0.4444444444444444,1.0
42.0,1,26.0,9.0,1.0,1.0,0,665.2,2.0,12,1,0.0384615384615384,3.0,0.0
22.0,1,59.0,10.0,4.0,21.0,0,780.0,3.0,3,2,0.0677966101694915,2.5,1.0
39.0,0,13.0,5.0,10.0,28.0,2,266.0,2.0,12,1,0.7692307692307693,1.6666666666666667,1.0
54.0,0,4.0,13.0,4.0,30.0,2,165.0,14.0,12,0,1.0,0.8666666666666667,1.0
33.0,0,19.0,18.0,8.0,18.0,1,898.0,15.0,3,1,0.4210526315789473,1.125,1.0
19.0,0,16.0,27.0,1.0,14.0,2,802.59,10.0,3,1,0.0625,2.4545454545454546,0.0
62.0,1,35.0,26.0,4.0,5.0,2,318.0,2.0,12,1,0.1142857142857142,8.666666666666666,1.0
64.0,1,36.0,3.0,2.0,8.0,0,575.0,13.0,1,1,0.0555555555555555,0.2142857142857142,1.0
46.0,0,5.0,29.0,9.0,12.0,0,679.0,19.0,12,0,1.8,1.45,1.0
41.0,0,40.0,21.0,0.0,15.0,2,952.52,14.0,12,2,0.0,1.4,0.0
49.0,0,20.0,30.0,4.0,11.0,1,268.0,5.0,12,1,0.2,5.0,1.0
53.0,1,25.0,1.0,4.0,10.0,0,995.22,15.0,3,1,0.16,0.0625,1.0
29.0,1,20.0,22.0,7.0,16.0,1,293.0,22.0,12,1,0.35,0.9565217391304348,1.0
33.0,1,2.0,8.0,8.0,25.0,1,910.0,8.0,12,0,4.0,0.8888888888888888,1.0
34.0,0,50.0,26.0,10.0,20.0,0,934.0,10.0,3,2,0.2,2.363636363636364,1.0
41.0,1,58.0,15.0,0.0,15.0,0,902.3,6.0,3,2,0.0,2.142857142857143,0.0
37.0,0,5.0,1.0,6.0,23.0,2,558.79,27.0,1,0,1.2,0.0357142857142857,1.0
32.0,0,9.0,18.0,3.0,8.0,0,547.55,11.0,3,0,0.3333333333333333,1.5,0.0
64.0,1,24.0,7.0,4.0,1.0,0,754.0,26.0,3,1,0.1666666666666666,0.2592592592592592,1.0
43.0,0,12.0,28.0,6.0,28.0,2,965.0,26.0,1,1,0.5,1.037037037037037,1.0
43.0,1,41.0,15.0,9.0,18.0,2,858.0,29.0,3,2,0.2195121951219512,0.5,1.0
45.0,0,44.0,26.0,6.0,12.0,0,462.45,26.0,1,2,0.1363636363636363,0.9629629629629628,1.0
28.0,0,5.0,4.0,7.0,17.0,1,587.0,21.0,12,0,1.4,0.1818181818181818,1.0
35.0,0,34.0,23.0,3.0,5.0,0,656.52,2.0,3,1,0.088235294117647,7.666666666666667,0.0
42.0,1,25.0,13.0,3.0,9.0,2,846.23,9.0,3,1,0.12,1.3,0.0
47.0,0,29.0,11.0,3.0,18.0,1,645.29,12.0,12,1,0.1034482758620689,0.8461538461538461,0.0
51.0,1,15.0,18.0,10.0,22.0,1,792.0,10.0,3,1,0.6666666666666666,1.6363636363636365,1.0
44.0,0,39.0,21.0,0.0,7.0,0,526.44,12.0,3,2,0.0,1.6153846153846154,0.0
22.0,1,34.0,14.0,2.0,19.0,2,847.11,11.0,3,1,0.0588235294117647,1.1666666666666667,0.0
35.0,1,25.0,3.0,2.0,25.0,1,890.0,25.0,12,1,0.08,0.1153846153846153,1.0
18.0,0,39.0,10.0,7.0,29.0,2,500.0,17.0,12,2,0.1794871794871795,0.5555555555555556,1.0
46.0,1,48.0,4.0,0.0,19.0,1,665.11,24.0,3,2,0.0,0.16,0.0
20.0,0,58.0,20.0,10.0,11.0,1,191.0,21.0,3,2,0.1724137931034483,0.9090909090909092,1.0
36.0,0,2.0,20.0,1.0,11.0,1,872.0,22.0,1,0,0.5,0.8695652173913043,1.0
56.0,1,4.0,24.0,6.0,25.0,2,717.0,18.0,1,0,1.5,1.263157894736842,1.0
32.0,0,21.0,17.0,0.0,16.0,2,433.0,12.0,3,1,0.0,1.3076923076923077,1.0
33.0,0,59.0,27.0,7.0,2.0,2,291.71,6.0,1,2,0.1186440677966101,3.857142857142857,1.0
19.0,1,59.0,26.0,0.0,10.0,0,836.99,14.0,12,2,0.0,1.7333333333333334,0.0
25.0,0,46.0,17.0,5.0,6.0,2,150.0,17.0,12,2,0.108695652173913,0.9444444444444444,1.0
43.0,0,10.0,18.0,3.0,20.0,2,737.87,13.0,12,0,0.3,1.2857142857142858,0.0
18.0,1,8.0,7.0,6.0,28.0,2,954.0,4.0,3,0,0.75,1.4,1.0
41.0,0,18.0,27.0,10.0,9.0,1,719.0,20.0,3,1,0.5555555555555556,1.2857142857142858,1.0
46.0,0,44.0,30.0,1.0,4.0,1,982.74,8.0,3,2,0.0227272727272727,3.333333333333333,0.0
56.0,0,50.0,3.0,5.0,28.0,1,607.0,25.0,12,2,0.1,0.1153846153846153,1.0
46.0,0,9.0,3.0,1.0,16.0,0,791.62,2.0,12,0,0.1111111111111111,1.0,0.0
18.0,1,24.0,19.0,0.0,30.0,1,592.21,16.0,3,1,0.0,1.1176470588235294,1.0
39.0,1,19.0,19.0,4.0,10.0,0,416.0,23.0,3,1,0.2105263157894736,0.7916666666666666,1.0
30.0,0,19.0,6.0,10.0,12.0,2,931.0,8.0,3,1,0.5263157894736842,0.6666666666666666,1.0
25.0,0,12.0,13.0,7.0,16.0,2,434.0,4.0,3,1,0.5833333333333334,2.6,1.0
18.0,1,51.0,24.0,0.0,14.0,2,634.73,8.0,3,2,0.0,2.6666666666666665,0.0
54.0,1,21.0,3.0,2.0,28.0,1,940.0,1.0,3,1,0.0952380952380952,1.5,1.0
29.0,0,42.0,23.0,6.0,0.0,1,400.06,25.0,1,2,0.1428571428571428,0.8846153846153846,1.0
38.0,0,2.0,7.0,7.0,26.0,1,639.0,9.0,3,0,3.5,0.7,1.0
52.0,0,35.0,8.0,9.0,12.0,1,132.0,5.0,3,1,0.2571428571428571,1.3333333333333333,1.0
49.0,1,26.0,11.0,8.0,30.0,1,783.0,14.0,1,1,0.3076923076923077,0.7333333333333333,1.0
21.0,1,58.0,12.0,1.0,8.0,2,426.0,2.0,3,2,0.0172413793103448,4.0,1.0
23.0,0,30.0,10.0,10.0,3.0,1,436.18,23.0,12,1,0.3333333333333333,0.4166666666666667,1.0
32.0,0,42.0,26.0,2.0,19.0,1,912.32,10.0,3,2,0.0476190476190476,2.363636363636364,0.0
45.0,1,46.0,30.0,7.0,1.0,2,419.0,14.0,12,2,0.1521739130434782,2.0,1.0
18.0,0,6.0,15.0,0.0,21.0,2,384.6,19.0,3,0,0.0,0.75,1.0
39.0,1,33.0,21.0,9.0,23.0,0,556.0,27.0,12,1,0.2727272727272727,0.75,1.0
46.0,0,36.0,23.0,3.0,19.0,1,680.54,7.0,12,1,0.0833333333333333,2.875,0.0
58.0,0,29.0,8.0,2.0,16.0,0,204.39,7.0,12,1,0.0689655172413793,1.0,1.0
50.0,1,3.0,1.0,1.0,11.0,1,543.12,22.0,3,0,0.3333333333333333,0.0434782608695652,0.0
23.0,1,18.0,29.0,10.0,28.0,1,326.0,10.0,3,1,0.5555555555555556,2.636363636363636,1.0
36.0,0,8.0,16.0,1.0,14.0,2,988.7,7.0,3,0,0.125,2.0,0.0
63.0,1,34.0,4.0,7.0,4.0,1,816.0,4.0,1,1,0.2058823529411764,0.8,1.0
29.0,1,7.0,15.0,8.0,16.0,1,929.0,14.0,1,0,1.1428571428571428,1.0,1.0
41.0,1,21.0,20.0,4.0,2.0,1,445.0,27.0,12,1,0.1904761904761904,0.7142857142857143,1.0
28.0,0,36.0,22.0,7.0,10.0,0,843.55,16.0,1,1,0.1944444444444444,1.2941176470588236,1.0
51.0,0,9.0,28.0,1.0,12.0,0,178.95,21.0,1,0,0.1111111111111111,1.2727272727272727,1.0
43.0,0,38.0,2.0,1.0,12.0,0,175.48,1.0,1,2,0.0263157894736842,1.0,1.0
47.0,1,29.0,9.0,3.0,13.0,1,395.12,21.0,12,1,0.1034482758620689,0.4090909090909091,1.0
24.0,0,47.0,13.0,5.0,19.0,2,283.0,30.0,12,2,0.1063829787234042,0.4193548387096774,1.0
28.0,0,52.0,13.0,0.0,14.0,1,987.56,11.0,12,2,0.0,1.0833333333333333,0.0
50.0,1,38.0,24.0,7.0,18.0,0,275.0,19.0,12,2,0.1842105263157894,1.2,1.0
28.0,0,30.0,14.0,3.0,18.0,0,282.0,14.0,3,1,0.1,0.9333333333333332,1.0
30.0,1,27.0,3.0,1.0,0.0,1,774.89,1.0,12,1,0.037037037037037,1.5,0.0
62.0,0,21.0,4.0,1.0,20.0,0,275.0,1.0,3,1,0.0476190476190476,2.0,1.0
23.0,1,59.0,30.0,7.0,21.0,1,737.0,17.0,3,2,0.1186440677966101,1.6666666666666667,1.0
47.0,1,47.0,6.0,3.0,4.0,2,279.0,22.0,3,2,0.0638297872340425,0.2608695652173913,1.0
51.0,0,46.0,27.0,0.0,16.0,0,830.0,21.0,1,2,0.0,1.2272727272727273,1.0
46.0,0,9.0,11.0,9.0,24.0,0,137.73,27.0,12,0,1.0,0.3928571428571428,1.0
39.0,0,9.0,26.0,0.0,5.0,0,985.51,2.0,3,0,0.0,8.666666666666666,0.0
43.0,0,21.0,1.0,5.0,8.0,2,776.0,5.0,12,1,0.238095238095238,0.1666666666666666,1.0
26.0,0,28.0,13.0,0.0,3.0,0,875.95,9.0,12,1,0.0,1.3,0.0
27.0,1,37.0,12.0,1.0,18.0,1,947.12,16.0,12,2,0.027027027027027,0.7058823529411765,0.0
52.0,0,6.0,27.0,8.0,6.0,2,418.0,18.0,3,0,1.3333333333333333,1.4210526315789471,1.0
29.0,0,11.0,13.0,8.0,7.0,1,503.0,8.0,1,0,0.7272727272727273,1.4444444444444444,1.0
47.0,0,40.0,27.0,3.0,6.0,1,894.0,8.0,1,2,0.075,3.0,1.0
24.0,0,5.0,24.0,1.0,22.0,1,581.0,22.0,12,0,0.2,1.0434782608695652,1.0
24.0,0,26.0,20.0,1.0,9.0,2,770.0,19.0,1,1,0.0384615384615384,1.0,1.0
28.0,0,60.0,24.0,1.0,5.0,1,773.48,8.0,3,2,0.0166666666666666,2.6666666666666665,0.0
36.0,1,5.0,8.0,3.0,12.0,2,977.99,24.0,3,0,0.6,0.32,0.0
24.0,1,51.0,29.0,7.0,8.0,2,763.0,2.0,3,2,0.1372549019607843,9.666666666666666,1.0
60.0,0,39.0,5.0,6.0,12.0,2,453.34,10.0,1,2,0.1538461538461538,0.4545454545454545,1.0
21.0,1,33.0,9.0,3.0,16.0,2,494.0,4.0,1,1,0.0909090909090909,1.8,1.0
33.0,0,36.0,3.0,9.0,24.0,0,174.43,29.0,1,1,0.25,0.1,1.0
59.0,0,42.0,27.0,0.0,16.0,2,727.75,20.0,3,2,0.0,1.2857142857142858,1.0
54.0,0,24.0,18.0,2.0,13.0,1,427.0,11.0,12,1,0.0833333333333333,1.5,1.0
28.0,1,18.0,28.0,0.0,25.0,0,476.0,9.0,1,1,0.0,2.8,1.0
47.0,1,18.0,28.0,1.0,7.0,2,865.43,13.0,3,1,0.0555555555555555,2.0,0.0
49.0,0,5.0,28.0,3.0,16.0,2,566.72,3.0,3,0,0.6,7.0,0.0
28.0,1,38.0,18.0,9.0,27.0,1,276.0,21.0,1,2,0.2368421052631578,0.8181818181818182,1.0
52.0,0,14.0,25.0,2.0,21.0,2,652.0,4.0,3,1,0.1428571428571428,5.0,1.0
65.0,0,33.0,14.0,9.0,18.0,0,859.0,8.0,12,1,0.2727272727272727,1.5555555555555556,1.0
39.0,1,23.0,10.0,1.0,12.0,1,996.25,6.0,12,1,0.0434782608695652,1.4285714285714286,0.0
61.0,0,7.0,24.0,1.0,10.0,1,642.0,17.0,12,0,0.1428571428571428,1.3333333333333333,1.0
28.0,0,57.0,14.0,6.0,9.0,2,160.0,23.0,3,2,0.1052631578947368,0.5833333333333334,1.0
43.0,1,58.0,2.0,1.0,13.0,0,512.0,3.0,12,2,0.0172413793103448,0.5,0.0
41.0,1,16.0,9.0,10.0,18.0,1,694.0,26.0,3,1,0.625,0.3333333333333333,1.0
36.0,1,17.0,18.0,3.0,1.0,2,551.04,24.0,12,1,0.1764705882352941,0.72,0.0
23.0,0,40.0,9.0,1.0,2.0,1,877.0,7.0,3,2,0.025,1.125,0.0
28.0,0,17.0,27.0,10.0,7.0,2,864.0,23.0,3,1,0.5882352941176471,1.125,1.0
56.0,0,18.0,29.0,1.0,16.0,1,332.0,24.0,3,1,0.0555555555555555,1.16,1.0
40.0,0,30.0,13.0,7.0,8.0,0,311.0,23.0,1,1,0.2333333333333333,0.5416666666666666,1.0
26.0,1,37.0,10.0,5.0,6.0,0,738.0,28.0,12,2,0.1351351351351351,0.3448275862068966,1.0
47.0,0,1.0,21.0,4.0,1.0,1,514.1,7.0,12,0,4.0,2.625,0.0
31.0,1,56.0,23.0,2.0,12.0,2,787.65,30.0,12,2,0.0357142857142857,0.7419354838709677,0.0
36.0,0,36.0,19.0,4.0,2.0,1,160.0,26.0,1,1,0.1111111111111111,0.7037037037037037,1.0
